history,phase,condition,trial,c,x,y,correct_action
H-S,training,T,1,1,1,0,A1
H-S,training,T,2,0,1,1,A1
H-S,training,T,3,1,1,1,A1
H-S,training,T,4,0,1,0,A0
H-S,training,T,5,1,0,1,A0
H-S,training,T,6,0,0,0,A1
H-S,training,T,7,1,1,0,A1
H-S,training,T,8,0,1,1,A1
H-S,training,T,9,1,0,1,A0
H-S,training,T,10,1,1,1,A1
H-S,training,T,11,0,0,0,A1
H-S,training,T,12,0,1,0,A0
H-S,training,T,13,1,0,1,A0
H-S,training,T,14,0,1,1,A1
H-S,training,T,15,1,1,0,A1
H-S,training,T,16,0,0,0,A1
H-S,training,T,17,0,1,0,A0
H-S,training,T,18,1,1,1,A1
H-S,training,T,19,1,0,1,A0
H-S,training,T,20,1,1,0,A1
H-S,training,T,21,0,1,1,A1
H-S,training,T,22,0,0,0,A1
H-S,training,T,23,1,1,1,A1
H-S,training,T,24,0,1,0,A0
H-S,training,T,25,1,0,1,A0
H-S,training,T,26,1,1,0,A1
H-S,training,T,27,0,1,1,A1
H-S,training,T,28,0,0,0,A1
H-S,training,T,29,0,1,0,A0
H-S,training,T,30,1,0,1,A0
H-S,training,T,31,1,1,1,A1
H-S,training,T,32,0,1,1,A1
H-S,training,T,33,1,1,0,A1
H-S,training,T,34,0,0,0,A1
H-S,training,T,35,0,1,0,A0
H-S,training,T,36,1,0,1,A0
H-S,training,T,37,1,1,1,A1
H-S,training,T,38,0,1,1,A1
H-S,training,T,39,0,0,0,A1
H-S,training,T,40,1,1,0,A1
H-S,training,T,41,0,1,0,A0
H-S,training,T,42,1,0,1,A0
H-S,training,T,43,0,1,1,A1
H-S,training,T,44,1,1,1,A1
H-S,training,T,45,0,0,0,A1
H-S,training,T,46,1,1,0,A1
H-S,training,T,47,1,0,1,A0
H-S,training,T,48,0,1,0,A0
H-S,training,T,49,0,1,1,A1
H-S,training,T,50,1,1,1,A1
H-S,training,T,51,0,0,0,A1
H-S,training,T,52,1,1,0,A1
H-S,training,T,53,0,1,0,A0
H-S,training,T,54,1,0,1,A0
H-S,training,T,55,0,1,1,A1
H-S,training,T,56,1,1,1,A1
H-S,training,T,57,0,0,0,A1
H-S,training,T,58,1,1,0,A1
H-S,training,T,59,0,1,0,A0
H-S,training,T,60,1,0,1,A0
H-S,training,T,61,1,1,1,A1
H-S,training,T,62,0,1,1,A1
H-S,training,T,63,1,0,1,A0
H-S,training,T,64,0,0,0,A1
H-S,training,T,65,1,1,0,A1
H-S,training,T,66,0,1,0,A0
H-S,training,T,67,0,1,1,A1
H-S,training,T,68,1,1,1,A1
H-S,training,T,69,1,0,1,A0
H-S,training,T,70,0,0,0,A1
H-S,training,T,71,1,1,0,A1
H-S,training,T,72,0,1,0,A0
H-S,training,T,73,1,0,1,A0
H-S,training,T,74,0,1,1,A1
H-S,training,T,75,1,1,1,A1
H-S,training,T,76,0,0,0,A1
H-S,training,T,77,0,1,0,A0
H-S,training,T,78,1,1,0,A1
H-S,training,T,79,1,0,1,A0
H-S,training,T,80,0,1,1,A1
H-S,training,T,81,0,0,0,A1
H-S,training,T,82,1,1,1,A1
H-S,training,T,83,1,1,0,A1
H-S,training,T,84,0,1,0,A0
H-S,training,T,85,1,0,1,A0
H-S,training,T,86,0,1,1,A1
H-S,training,T,87,0,0,0,A1
H-S,training,T,88,1,1,1,A1
H-S,training,T,89,0,1,0,A0
H-S,training,T,90,1,1,0,A1
H-S,training,T,91,1,0,1,A0
H-S,training,T,92,0,1,1,A1
H-S,training,T,93,1,1,1,A1
H-S,training,T,94,0,0,0,A1
H-S,training,T,95,1,0,1,A0
H-S,training,T,96,0,1,0,A0
H-S,training,T,97,1,1,0,A1
H-S,training,T,98,0,1,1,A1
H-S,training,T,99,1,1,1,A1
H-S,training,T,100,0,0,0,A1
H-S,training,T,101,0,1,0,A0
H-S,training,T,102,1,0,1,A0
H-S,training,T,103,1,1,0,A1
H-S,training,T,104,0,1,1,A1
H-S,training,T,105,0,0,0,A1
H-S,training,T,106,1,1,1,A1
H-S,training,T,107,0,1,0,A0
