history,phase,condition,trial,source_c,source_x,source_y,present_c,present_x,present_y,correct_action
H-S,training,T,1,1,1,1,1,1,1,A1
H-S,training,T,2,0,1,1,0,1,1,A1
H-S,training,T,3,1,0,0,1,0,0,A1
H-S,training,T,4,0,0,1,0,0,1,A0
H-S,training,T,5,1,1,1,1,1,1,A1
H-S,training,T,6,1,1,1,1,1,1,A1
H-S,training,T,7,0,0,0,0,0,0,A1
H-S,training,T,8,0,1,1,0,1,1,A1
H-S,training,T,9,1,1,1,1,1,1,A1
H-S,training,T,10,0,0,0,0,0,0,A1
H-S,training,T,11,1,1,1,1,1,1,A1
H-S,training,T,12,0,0,1,0,0,1,A0
H-S,training,T,13,0,1,1,0,1,1,A1
H-S,training,T,14,1,1,1,1,1,1,A1
H-S,training,T,15,0,0,0,0,0,0,A1
H-S,training,T,16,1,0,0,1,0,0,A1
H-S,training,T,17,1,1,0,1,1,0,A0
H-S,training,T,18,0,0,0,0,0,0,A1
H-S,training,T,19,1,0,0,1,0,0,A1
H-S,training,T,20,0,1,1,0,1,1,A1
H-S,training,T,21,1,1,0,1,1,0,A0
H-S,training,T,22,0,0,0,0,0,0,A1
H-S,training,T,23,1,1,1,1,1,1,A1
H-S,training,T,24,0,0,1,0,0,1,A0
H-S,training,T,25,1,1,1,1,1,1,A1
H-S,training,T,26,1,0,0,1,0,0,A1
H-S,training,T,27,1,1,0,1,1,0,A0
H-S,training,T,28,0,0,1,0,0,1,A0
H-S,training,T,29,1,1,0,1,1,0,A0
H-S,training,T,30,0,0,0,0,0,0,A1
H-S,training,T,31,0,0,1,0,0,1,A0
H-S,training,T,32,0,0,1,0,0,1,A0
H-S,training,T,33,1,1,0,1,1,0,A0
H-S,training,T,34,1,1,0,1,1,0,A0
H-S,training,T,35,0,0,1,0,0,1,A0
H-S,training,T,36,1,1,1,1,1,1,A1
H-S,training,T,37,1,1,0,1,1,0,A0
H-S,training,T,38,1,1,1,1,1,1,A1
H-S,training,T,39,0,0,0,0,0,0,A1
H-S,training,T,40,1,0,0,1,0,0,A1
H-S,training,T,41,0,0,1,0,0,1,A0
H-S,training,T,42,1,1,0,1,1,0,A0
H-S,training,T,43,0,0,0,0,0,0,A1
H-S,training,T,44,0,0,0,0,0,0,A1
H-S,training,T,45,0,1,1,0,1,1,A1
H-S,training,T,46,1,0,0,1,0,0,A1
H-S,training,T,47,0,0,1,0,0,1,A0
H-S,training,T,48,1,1,0,1,1,0,A0
H-S,training,T,49,0,1,1,0,1,1,A1
H-S,training,T,50,0,0,0,0,0,0,A1
H-S,training,T,51,1,1,0,1,1,0,A0
H-S,training,T,52,0,0,0,0,0,0,A1
H-S,training,T,53,0,0,1,0,0,1,A0
H-S,training,T,54,0,1,1,0,1,1,A1
H-S,training,T,55,1,1,1,1,1,1,A1
H-S,training,T,56,0,0,1,0,0,1,A0
H-S,training,T,57,0,0,1,0,0,1,A0
H-S,training,T,58,0,1,1,0,1,1,A1
H-S,training,T,59,0,0,0,0,0,0,A1
H-S,training,T,60,1,0,0,1,0,0,A1
H-S,training,T,61,0,0,0,0,0,0,A1
H-S,training,T,62,1,1,1,1,1,1,A1
H-S,training,T,63,1,1,0,1,1,0,A0
H-S,training,T,64,1,0,0,1,0,0,A1
H-S,training,T,65,0,1,1,0,1,1,A1
H-S,training,T,66,1,1,1,1,1,1,A1
H-S,training,T,67,1,1,1,1,1,1,A1
H-S,training,T,68,0,0,1,0,0,1,A0
H-S,training,T,69,0,0,1,0,0,1,A0
H-S,training,T,70,1,1,1,1,1,1,A1
H-S,training,T,71,0,0,0,0,0,0,A1
H-S,training,T,72,0,0,1,0,0,1,A0
H-S,training,T,73,1,0,0,1,0,0,A1
H-S,training,T,74,1,1,1,1,1,1,A1
H-S,training,T,75,1,0,0,1,0,0,A1
H-S,training,T,76,1,1,0,1,1,0,A0
H-S,training,T,77,1,1,0,1,1,0,A0
H-S,training,T,78,1,1,0,1,1,0,A0
H-S,training,T,79,1,1,1,1,1,1,A1
H-S,training,T,80,0,1,1,0,1,1,A1
H-S,training,T,81,0,0,0,0,0,0,A1
H-S,training,T,82,1,1,1,1,1,1,A1
H-S,training,T,83,0,1,1,0,1,1,A1
H-S,training,T,84,0,0,0,0,0,0,A1
H-S,training,T,85,0,1,1,0,1,1,A1
H-S,training,T,86,0,1,1,0,1,1,A1
H-S,training,T,87,1,1,0,1,1,0,A0
H-S,training,T,88,0,0,1,0,0,1,A0
H-S,training,T,89,1,0,0,1,0,0,A1
H-S,training,T,90,1,1,0,1,1,0,A0
H-S,training,T,91,1,1,0,1,1,0,A0
H-S,training,T,92,1,1,1,1,1,1,A1
H-S,training,T,93,0,1,1,0,1,1,A1
H-S,training,T,94,0,1,1,0,1,1,A1
H-S,training,T,95,0,0,0,0,0,0,A1
H-S,training,T,96,0,1,1,0,1,1,A1
H-S,training,T,97,1,1,0,1,1,0,A0
H-S,training,T,98,0,1,1,0,1,1,A1
H-S,training,T,99,0,0,0,0,0,0,A1
H-S,training,T,100,1,0,0,1,0,0,A1
H-S,training,T,101,1,0,0,1,0,0,A1
H-S,training,T,102,1,1,0,1,1,0,A0
H-S,training,T,103,1,0,0,1,0,0,A1
H-S,training,T,104,1,0,0,1,0,0,A1
H-S,training,T,105,0,0,1,0,0,1,A0
H-S,training,T,106,1,1,1,1,1,1,A1
