phase,history,condition,trial,c,x,y,correct_action
TRAIN,H-S,-,1,0,0,1,A0
TRAIN,H-S,-,2,1,1,0,A0
TRAIN,H-S,-,3,1,1,1,A1
TRAIN,H-S,-,4,1,0,1,A0
TRAIN,H-S,-,5,0,1,0,A0
TRAIN,H-S,-,6,0,1,1,A1
TRAIN,H-S,-,7,1,0,0,A1
TRAIN,H-S,-,8,0,0,0,A1
TRAIN,H-S,-,9,0,1,0,A0
TRAIN,H-S,-,10,1,1,1,A1
TRAIN,H-S,-,11,0,0,0,A1
TRAIN,H-S,-,12,1,0,1,A0
TRAIN,H-S,-,13,1,1,0,A0
TRAIN,H-S,-,14,0,0,1,A0
TRAIN,H-S,-,15,1,0,0,A1
TRAIN,H-S,-,16,0,1,1,A1
TRAIN,H-S,-,17,0,1,0,A0
TRAIN,H-S,-,18,0,0,0,A1
TRAIN,H-S,-,19,1,1,1,A1
TRAIN,H-S,-,20,1,0,1,A0
TRAIN,H-S,-,21,0,0,1,A0
TRAIN,H-S,-,22,1,1,0,A0
TRAIN,H-S,-,23,0,1,1,A1
TRAIN,H-S,-,24,1,0,0,A1
TRAIN,H-S,-,25,0,1,0,A0
TRAIN,H-S,-,26,1,1,0,A0
TRAIN,H-S,-,27,0,0,0,A1
TRAIN,H-S,-,28,1,0,1,A0
TRAIN,H-S,-,29,0,1,1,A1
TRAIN,H-S,-,30,1,0,0,A1
TRAIN,H-S,-,31,0,0,1,A0
TRAIN,H-S,-,32,1,1,1,A1
TRAIN,H-S,-,33,0,1,0,A0
TRAIN,H-S,-,34,1,1,0,A0
TRAIN,H-S,-,35,1,0,0,A1
TRAIN,H-S,-,36,0,0,0,A1
TRAIN,H-S,-,37,1,0,1,A0
TRAIN,H-S,-,38,0,1,1,A1
TRAIN,H-S,-,39,0,0,1,A0
TRAIN,H-S,-,40,1,1,1,A1
TRAIN,H-S,-,41,0,1,0,A0
TRAIN,H-S,-,42,1,0,0,A1
TRAIN,H-S,-,43,1,1,0,A0
TRAIN,H-S,-,44,0,0,0,A1
TRAIN,H-S,-,45,0,1,1,A1
TRAIN,H-S,-,46,1,0,1,A0
TRAIN,H-S,-,47,1,1,1,A1
TRAIN,H-S,-,48,0,0,1,A0
TRAIN,H-S,-,49,1,1,0,A0
TRAIN,H-S,-,50,1,0,0,A1
TRAIN,H-S,-,51,0,1,0,A0
TRAIN,H-S,-,52,0,1,1,A1
TRAIN,H-S,-,53,0,0,0,A1
TRAIN,H-S,-,54,1,0,1,A0
TRAIN,H-S,-,55,1,1,1,A1
TRAIN,H-S,-,56,0,1,0,A0
TRAIN,H-S,-,57,0,0,1,A0
TRAIN,H-S,-,58,1,1,0,A0
